sous_famille,famille,sous_famille_code,sequence,propriete,propriete_description,raw_unit,resolved_uom,is_major_default,valeurs_possibles,statut,source,masque_description_erp
HY-VE,HY,VE,1,TYPE,Type,,,0,,Validé terrain,lokoli,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
HY-VE,HY,VE,2,DAP,Diamètre alésage / piston,mm,Millimeter,1,,Validé terrain,lokoli,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
HY-VE,HY,VE,3,DGT,Diamètre tige,mm,Millimeter,0,,Validé terrain,lokoli,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
HY-VE,HY,VE,4,COU,Course,mm,Millimeter,0,,Validé terrain,lokoli,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
HY-VE,HY,VE,5,PRE,Pression max,bar,Bar,0,,Validé terrain,lokoli,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
IN-CP,IN,CP,1,TYPE,Type,,,0,,Validé terrain,Eddy,CAPTEUR PRESSION [Plage/Bars] [Signal: 4-20mA/TOR] [Raccordement]
IN-CP,IN,CP,2,PME,Pression maximale de l'échelle,bar,Bar,1,,Validé terrain,Eddy,CAPTEUR PRESSION [Plage/Bars] [Signal: 4-20mA/TOR] [Raccordement]
IN-CP,IN,CP,3,SIG,Signal de sortie,,,0,,Validé terrain,Eddy,CAPTEUR PRESSION [Plage/Bars] [Signal: 4-20mA/TOR] [Raccordement]
IN-CP,IN,CP,4,RAC,Raccordement,,,0,,Validé terrain,Eddy,CAPTEUR PRESSION [Plage/Bars] [Signal: 4-20mA/TOR] [Raccordement]
IN-CP,IN,CP,5,FAB,Fabricant,,,0,,Validé terrain,Eddy,CAPTEUR PRESSION [Plage/Bars] [Signal: 4-20mA/TOR] [Raccordement]
IN-DE,IN,DE,1,TYPE,Type,,,0,,Validé terrain,Eddy,DEBITMETRE [Type] [Plage Débit] [DN/Raccordement] [Sortie]
IN-DE,IN,DE,2,PDM,Plage de débit maximale,m³/h,,1,,Validé terrain,Eddy,DEBITMETRE [Type] [Plage Débit] [DN/Raccordement] [Sortie]
IN-DE,IN,DE,3,DNR,DN / raccordement,,,0,,Validé terrain,Eddy,DEBITMETRE [Type] [Plage Débit] [DN/Raccordement] [Sortie]
IN-DE,IN,DE,4,SOR,Sortie,,,0,,Validé terrain,Eddy,DEBITMETRE [Type] [Plage Débit] [DN/Raccordement] [Sortie]
IN-DE,IN,DE,5,FAB,Fabricant,,,0,,Validé terrain,Eddy,DEBITMETRE [Type] [Plage Débit] [DN/Raccordement] [Sortie]
IN-TE,IN,TE,1,TS,Type sonde,,,0,,Validé terrain,Eddy,SONDE TEMPERATURE [Type: PT100/TC-K] L=[Longueur] Ø[Tige]
IN-TE,IN,TE,2,PMEAS,Plage de mesure,°C,Celsius,1,,Validé terrain,Eddy,SONDE TEMPERATURE [Type: PT100/TC-K] L=[Longueur] Ø[Tige]
IN-TE,IN,TE,3,LON,Longueur,mm,Millimeter,0,,Validé terrain,Eddy,SONDE TEMPERATURE [Type: PT100/TC-K] L=[Longueur] Ø[Tige]
IN-TE,IN,TE,4,DGT,Diamètre tige,mm,Millimeter,0,,Validé terrain,Eddy,SONDE TEMPERATURE [Type: PT100/TC-K] L=[Longueur] Ø[Tige]
