item_code,sequence,propriete,valeur,unite,is_major,famille,sous_famille
100800125,1,TYPE,,,0,HY,HY-VE
100800125,2,DAP,,Millimeter,1,HY,HY-VE
100800125,3,DGT,,Millimeter,0,HY,HY-VE
100800125,4,COU,,Millimeter,0,HY,HY-VE
100800125,5,PRE,,Bar,0,HY,HY-VE
100800126,1,TYPE,,,0,HY,HY-VE
100800126,2,DAP,,Millimeter,1,HY,HY-VE
100800126,3,DGT,,Millimeter,0,HY,HY-VE
100800126,4,COU,,Millimeter,0,HY,HY-VE
100800126,5,PRE,,Bar,0,HY,HY-VE
100800127,1,TYPE,,,0,HY,HY-VE
100800127,2,DAP,,Millimeter,1,HY,HY-VE
100800127,3,DGT,,Millimeter,0,HY,HY-VE
100800127,4,COU,,Millimeter,0,HY,HY-VE
100800127,5,PRE,,Bar,0,HY,HY-VE
100800128,1,TYPE,,,0,HY,HY-VE
100800128,2,DAP,,Millimeter,1,HY,HY-VE
100800128,3,DGT,,Millimeter,0,HY,HY-VE
100800128,4,COU,,Millimeter,0,HY,HY-VE
100800128,5,PRE,,Bar,0,HY,HY-VE
100800130,1,TCP,,,0,EE,EE-CP
100800130,2,SIG,,,1,EE,EE-CP
100800130,3,RAC,,,0,EE,EE-CP
100800130,4,ALIM,,,0,EE,EE-CP
100800130,5,PLG,,,0,EE,EE-CP
100800131,1,TCP,,,0,EE,EE-CP
100800131,2,SIG,,,1,EE,EE-CP
100800131,3,RAC,,,0,EE,EE-CP
100800131,4,ALIM,,,0,EE,EE-CP
100800131,5,PLG,,,0,EE,EE-CP
100800132,1,TCP,,,0,EE,EE-CP
100800132,2,SIG,,,1,EE,EE-CP
100800132,3,RAC,,,0,EE,EE-CP
100800132,4,ALIM,,,0,EE,EE-CP
100800132,5,PLG,,,0,EE,EE-CP
100800133,1,TCP,,,0,EE,EE-CP
100800133,2,SIG,,,1,EE,EE-CP
100800133,3,RAC,,,0,EE,EE-CP
100800133,4,ALIM,,,0,EE,EE-CP
100800133,5,PLG,,,0,EE,EE-CP
100800134,1,TCP,,,0,EE,EE-CP
100800134,2,SIG,,,1,EE,EE-CP
100800134,3,RAC,,,0,EE,EE-CP
100800134,4,ALIM,,,0,EE,EE-CP
100800134,5,PLG,,,0,EE,EE-CP
100800135,1,TCP,,,0,EE,EE-CP
100800135,2,SIG,,,1,EE,EE-CP
100800135,3,RAC,,,0,EE,EE-CP
100800135,4,ALIM,,,0,EE,EE-CP
100800135,5,PLG,,,0,EE,EE-CP
100800136,1,TCP,,,0,EE,EE-CP
100800136,2,SIG,,,1,EE,EE-CP
100800136,3,RAC,,,0,EE,EE-CP
100800136,4,ALIM,,,0,EE,EE-CP
100800136,5,PLG,,,0,EE,EE-CP
100800137,1,TCP,,,0,EE,EE-CP
100800137,2,SIG,,,1,EE,EE-CP
100800137,3,RAC,,,0,EE,EE-CP
